state_id,page_id,implementation_version,state_name,batch_id,status,notes
COM-OV-002-S02,COM-OV-002,V1.3.0,会员在线开通未开放,B30,PLANNED,
COM-OV-002-S03,COM-OV-002,V1.3.0,账户操作未开放,B30,PLANNED,
COM-OV-002-S04,COM-OV-002,V1.3.0,道具购买未开放,B30,PLANNED,
ME-001-S03,ME-001,V1.3.0,未开通会员,B30,PLANNED,
ME-001-S04,ME-001,V1.3.0,已开通会员,B30,PLANNED,
ME-001-S05,ME-001,V1.3.0,会员已过期,B30,PLANNED,
ME-001-S06,ME-001,V1.3.0,离线缓存,B30,PLANNED,
ME-003-S01,ME-003,V1.3.0,资料加载,B31,PLANNED,
ME-003-S02,ME-003,V1.3.0,只读资料,B31,PLANNED,
ME-003-S03,ME-003,V1.3.0,加载失败,B31,PLANNED,
ME-004-S01,ME-004,V1.3.0,会员加载,B31,PLANNED,
ME-004-S02,ME-004,V1.3.0,未开通,B31,PLANNED,
ME-004-S03,ME-004,V1.3.0,有效会员,B31,PLANNED,
ME-004-S04,ME-004,V1.3.0,已过期,B31,PLANNED,
ME-004-S05,ME-004,V1.3.0,会员加载失败,B31,PLANNED,
ME-005-S01,ME-005,V1.3.0,账户加载,B31,PLANNED,
ME-005-S02,ME-005,V1.3.0,只读余额,B31,PLANNED,
ME-005-S03,ME-005,V1.3.0,账户加载失败,B31,PLANNED,
ME-006-S01,ME-006,V1.3.0,道具加载,B32,PLANNED,
ME-006-S02,ME-006,V1.3.0,道具展示,B32,PLANNED,
ME-006-S03,ME-006,V1.3.0,无展示道具,B32,PLANNED,
ME-006-S04,ME-006,V1.3.0,离线缓存,B32,PLANNED,
ME-006-S05,ME-006,V1.3.0,道具加载失败,B32,PLANNED,
ME-007-S01,ME-007,V1.3.0,浏览记录未开放,B32,PLANNED,
ME-008-S01,ME-008,V1.3.0,收藏未开放,B32,PLANNED,
ME-009-S01,ME-009,V1.3.0,实名认证未开放,B32,PLANNED,
ME-010-S01,ME-010,V1.3.0,客服配置加载,B33,PLANNED,
ME-010-S02,ME-010,V1.3.0,客服信息,B33,PLANNED,
ME-010-S03,ME-010,V1.3.0,复制成功,B33,PLANNED,
ME-010-S04,ME-010,V1.3.0,外部应用不可用,B33,PLANNED,
ME-010-S05,ME-010,V1.3.0,配置失败,B33,PLANNED,
ME-011-S01,ME-011,V1.3.0,设置列表,B33,PLANNED,
ME-011-S02,ME-011,V1.3.0,清理缓存中,B33,PLANNED,
ME-011-S03,ME-011,V1.3.0,清理成功,B33,PLANNED,
ME-011-S04,ME-011,V1.3.0,清理失败,B33,PLANNED,
ME-011-S05,ME-011,V1.3.0,离线设置,B33,PLANNED,
ME-012-S01,ME-012,V1.3.0,关于信息,B33,PLANNED,
ME-012-S02,ME-012,V1.4.0,检查更新,B42,PLANNED,
ME-012-S03,ME-012,V1.4.0,已是最新版,B42,PLANNED,
ME-012-S04,ME-012,V1.4.0,发现更新,B42,PLANNED,
ME-012-S05,ME-012,V1.4.0,检查失败,B42,PLANNED,
SYS-001-S05,SYS-001,V1.4.0,发现可选更新,B40,PLANNED,
SYS-001-S06,SYS-001,V1.4.0,发现强制更新,B40,PLANNED,
SYS-001-S07,SYS-001,V1.4.0,维护模式,B40,PLANNED,
SYS-002-S01,SYS-002,V1.4.0,系统维护,B42,PLANNED,
SYS-002-S05,SYS-002,V1.4.0,服务已恢复,B42,PLANNED,
SYS-003-S01,SYS-003,V1.4.0,检查版本,B41,PLANNED,
SYS-003-S02,SYS-003,V1.4.0,已是最新版,B41,PLANNED,
SYS-003-S03,SYS-003,V1.4.0,可选更新可用,B41,PLANNED,
SYS-003-S04,SYS-003,V1.4.0,强制更新可用,B41,PLANNED,
SYS-003-S05,SYS-003,V1.4.0,正在下载,B41,PLANNED,
SYS-003-S06,SYS-003,V1.4.0,下载失败,B41,PLANNED,
SYS-003-S07,SYS-003,V1.4.0,等待安装,B41,PLANNED,
SYS-003-S08,SYS-003,V1.4.0,安装受阻,B41,PLANNED,
SYS-OV-001-S01,SYS-OV-001,V1.4.0,可选更新,B40,PLANNED,
SYS-OV-001-S02,SYS-OV-001,V1.4.0,下载中,B40,PLANNED,
SYS-OV-001-S03,SYS-OV-001,V1.4.0,下载失败,B40,PLANNED,
SYS-OV-002-S01,SYS-OV-002,V1.4.0,强制更新,B40,PLANNED,
SYS-OV-002-S02,SYS-OV-002,V1.4.0,强制更新下载中,B40,PLANNED,
SYS-OV-002-S03,SYS-OV-002,V1.4.0,强制更新失败,B40,PLANNED,
