interaction_id,page_id,name,action,target,api_operation_id,implementation_version,test_level,version_close_required,expected_result
INT-SYS-001,SYS-001,重试启动配置,点击重试,重新执行启动编排,getBootstrap,V1.0.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-SYS-002,SYS-001,离线进入缓存首页,点击离线进入,stk://home,LOCAL_CACHE_ROUTE,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SYS-003,SYS-002,服务异常重试,点击重试,上一次安全请求,LOCAL_RETRY,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SYS-004,SYS-002,打开客服,点击联系客服,stk://me/support,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-UPD-001,SYS-003,检查更新,点击检查更新,版本服务,getCurrentRelease,V1.4.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-UPD-002,SYS-003,开始下载更新,点击下载,受控 APK 下载,DOWNLOAD_RELEASE_APK,V1.4.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-UPD-003,SYS-003,重试更新下载,点击重试,受控 APK 下载,DOWNLOAD_RELEASE_APK,V1.4.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-UPD-004,SYS-003,启动系统安装器,点击安装,Android Package Installer,LOCAL_PACKAGE_INSTALL,V1.4.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-UPD-005,SYS-OV-001,可选更新立即更新,点击立即更新,stk://system/update,LOCAL_NAVIGATION,V1.4.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-UPD-006,SYS-OV-001,可选更新稍后,点击稍后,关闭弹窗,LOCAL_DISMISS,V1.4.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-UPD-007,SYS-OV-002,强制更新立即更新,点击立即更新,stk://system/update,LOCAL_NAVIGATION,V1.4.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-STAGE-001,COM-OV-002,关闭阶段说明,点击返回,关闭弹层,LOCAL_DISMISS,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-ME-001,ME-001,打开个人资料,点击资料卡,ME-003,LOCAL_NAVIGATION,V1.3.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-ME-002,ME-001,打开我的发布,点击我的发布,ME-002,listMyProjects,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-ME-003,ME-001,打开账户余额,点击账户卡,ME-005,getMyWallets,V1.3.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-ME-004,ME-001,打开会员中心,点击会员卡,ME-004,getMyMember,V1.3.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-ME-005,ME-001,打开道具中心,点击道具中心,ME-006,getPropDisplay,V1.3.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-ME-006,ME-001,打开浏览记录占位,点击浏览记录,ME-007,LOCAL_NAVIGATION,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-ME-007,ME-001,打开收藏占位,点击收藏,ME-008,LOCAL_NAVIGATION,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-ME-008,ME-001,打开实名认证占位,点击实名认证,ME-009,LOCAL_NAVIGATION,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-ME-009,ME-001,打开客服,点击联系客服,ME-010,getSupportConfig,V1.3.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-ME-010,ME-001,打开设置,点击设置,ME-011,LOCAL_NAVIGATION,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-ME-011,ME-001,我的页面重试,点击重试,资料摘要,getMySummary,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-PROFILE-001,ME-003,个人资料返回,点击返回,ME-001,LOCAL_BACK,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-MEMBER-001,ME-004,会员开通引导,点击立即开通,阶段说明,LOCAL_STAGE_SCOPE,V1.3.0,GROUPED_COMPOSE_UI,YES,明确本期不实现在线开通，不创建订单或假支付
INT-MEMBER-002,ME-004,会员页返回,点击返回,ME-001,LOCAL_BACK,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-WALLET-001,ME-005,账户操作说明,点击余额卡,阶段说明,LOCAL_STAGE_SCOPE,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-WALLET-002,ME-005,账户页返回,点击返回,ME-001,LOCAL_BACK,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-PROP-001,ME-006,查看道具说明,点击道具卡,阶段说明,LOCAL_STAGE_SCOPE,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-PROP-002,ME-006,道具页返回,点击返回,ME-001,LOCAL_BACK,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-PLACE-001,ME-007,占位页返回,点击返回,ME-001,LOCAL_BACK,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-PLACE-002,ME-008,占位页返回,点击返回,ME-001,LOCAL_BACK,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-PLACE-003,ME-009,占位页返回,点击返回,ME-001,LOCAL_BACK,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SUPPORT-001,ME-010,复制客服信息,点击复制,系统剪贴板,LOCAL_CLIPBOARD,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SUPPORT-002,ME-010,打开客服外部应用,点击打开,白名单外部应用,LOCAL_EXTERNAL_OPEN,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SUPPORT-003,ME-010,客服配置重试,点击重试,客服配置,getSupportConfig,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SET-001,ME-011,清理图片与列表缓存,点击清理缓存,本地缓存,LOCAL_CLEAR_CACHE,V1.3.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-SET-002,ME-011,设置页打开协议,点击用户协议,AUTH-004,LOCAL_NAVIGATION,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SET-003,ME-011,设置页打开隐私,点击隐私政策,AUTH-005,LOCAL_NAVIGATION,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SET-004,ME-011,打开关于,点击关于,ME-012,LOCAL_NAVIGATION,V1.3.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-SET-005,ME-011,打开退出确认,点击退出登录,ME-OV-001,LOCAL_OVERLAY,V1.3.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-ABOUT-001,ME-012,关于页检查更新,点击检查更新,版本服务,getCurrentRelease,V1.4.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
