state_id,page_id,state_name,description,implementation_version,visual_reference,automation,release_blocking
SYS-001-S05,SYS-001,发现可选更新,触发可选更新弹窗,V1.4.0,visual/states/SYS-001-S05.png,EMULATOR_VISUAL_SMOKE,YES
SYS-001-S06,SYS-001,发现强制更新,触发不可跳过更新弹窗,V1.4.0,visual/states/SYS-001-S06.png,EMULATOR_VISUAL_SMOKE,YES
SYS-001-S07,SYS-001,维护模式,转入维护页,V1.4.0,visual/states/SYS-001-S07.png,EMULATOR_VISUAL_SMOKE,YES
SYS-002-S01,SYS-002,系统维护,后台配置维护文案和预计恢复说明,V1.4.0,visual/states/SYS-002-S01.png,STATE_OR_COMPONENT_TEST,NO
SYS-002-S05,SYS-002,服务已恢复,恢复提示并返回上一安全页面,V1.4.0,visual/states/SYS-002-S05.png,STATE_OR_COMPONENT_TEST,NO
SYS-003-S01,SYS-003,检查版本,请求当前发布配置,V1.4.0,visual/states/SYS-003-S01.png,STATE_OR_COMPONENT_TEST,NO
SYS-003-S02,SYS-003,已是最新版,展示当前版本及检查时间,V1.4.0,visual/states/SYS-003-S02.png,EMULATOR_VISUAL_SMOKE,YES
SYS-003-S03,SYS-003,可选更新可用,展示新版本、大小和更新日志,V1.4.0,visual/states/SYS-003-S03.png,EMULATOR_VISUAL_SMOKE,YES
SYS-003-S04,SYS-003,强制更新可用,展示最低版本限制,V1.4.0,visual/states/SYS-003-S04.png,EMULATOR_VISUAL_SMOKE,YES
SYS-003-S05,SYS-003,正在下载,展示进度、大小和取消策略,V1.4.0,visual/states/SYS-003-S05.png,EMULATOR_VISUAL_SMOKE,YES
SYS-003-S06,SYS-003,下载失败,保留重试并解释网络/存储错误,V1.4.0,visual/states/SYS-003-S06.png,STATE_OR_COMPONENT_TEST,NO
SYS-003-S07,SYS-003,等待安装,校验 SHA-256 后交给系统安装器,V1.4.0,visual/states/SYS-003-S07.png,STATE_OR_COMPONENT_TEST,NO
SYS-003-S08,SYS-003,安装受阻,未知来源权限或包签名不匹配提示,V1.4.0,visual/states/SYS-003-S08.png,EMULATOR_VISUAL_SMOKE,YES
SYS-OV-001-S01,SYS-OV-001,可选更新,立即更新或稍后处理,V1.4.0,visual/states/SYS-OV-001-S01.png,STATE_OR_COMPONENT_TEST,NO
SYS-OV-001-S02,SYS-OV-001,下载中,按钮锁定并显示进度,V1.4.0,visual/states/SYS-OV-001-S02.png,STATE_OR_COMPONENT_TEST,NO
SYS-OV-001-S03,SYS-OV-001,下载失败,允许重试或稍后,V1.4.0,visual/states/SYS-OV-001-S03.png,STATE_OR_COMPONENT_TEST,NO
SYS-OV-002-S01,SYS-OV-002,强制更新,只有立即更新按钮,V1.4.0,visual/states/SYS-OV-002-S01.png,STATE_OR_COMPONENT_TEST,NO
SYS-OV-002-S02,SYS-OV-002,强制更新下载中,不可关闭,V1.4.0,visual/states/SYS-OV-002-S02.png,STATE_OR_COMPONENT_TEST,NO
SYS-OV-002-S03,SYS-OV-002,强制更新失败,重试和客服入口,V1.4.0,visual/states/SYS-OV-002-S03.png,STATE_OR_COMPONENT_TEST,NO
COM-OV-002-S02,COM-OV-002,会员在线开通未开放,只展示会员状态和权益,V1.3.0,visual/states/COM-OV-002-S02.png,STATE_OR_COMPONENT_TEST,NO
COM-OV-002-S03,COM-OV-002,账户操作未开放,只展示余额,V1.3.0,visual/states/COM-OV-002-S03.png,STATE_OR_COMPONENT_TEST,NO
COM-OV-002-S04,COM-OV-002,道具购买未开放,只展示道具,V1.3.0,visual/states/COM-OV-002-S04.png,STATE_OR_COMPONENT_TEST,NO
ME-001-S03,ME-001,未开通会员,双账户、营销会员卡、道具与常用功能,V1.3.0,visual/states/ME-001-S03.png,EMULATOR_VISUAL_SMOKE,YES
ME-001-S04,ME-001,已开通会员,等级和有效期,V1.3.0,visual/states/ME-001-S04.png,EMULATOR_VISUAL_SMOKE,YES
ME-001-S05,ME-001,会员已过期,过期标识和仅展示状态,V1.3.0,visual/states/ME-001-S05.png,STATE_OR_COMPONENT_TEST,NO
ME-001-S06,ME-001,离线缓存,显示最近资料和离线提示,V1.3.0,visual/states/ME-001-S06.png,STATE_OR_COMPONENT_TEST,NO
ME-003-S01,ME-003,资料加载,骨架,V1.3.0,visual/states/ME-003-S01.png,STATE_OR_COMPONENT_TEST,NO
ME-003-S02,ME-003,只读资料,真实基础资料,V1.3.0,visual/states/ME-003-S02.png,EMULATOR_VISUAL_SMOKE,YES
ME-003-S03,ME-003,加载失败,重试,V1.3.0,visual/states/ME-003-S03.png,STATE_OR_COMPONENT_TEST,NO
ME-004-S01,ME-004,会员加载,卡片骨架,V1.3.0,visual/states/ME-004-S01.png,STATE_OR_COMPONENT_TEST,NO
ME-004-S02,ME-004,未开通,展示后台配置权益与阶段提示,V1.3.0,visual/states/ME-004-S02.png,EMULATOR_VISUAL_SMOKE,YES
ME-004-S03,ME-004,有效会员,等级、开始和到期日期,V1.3.0,visual/states/ME-004-S03.png,EMULATOR_VISUAL_SMOKE,YES
ME-004-S04,ME-004,已过期,历史状态和到期日期,V1.3.0,visual/states/ME-004-S04.png,STATE_OR_COMPONENT_TEST,NO
ME-004-S05,ME-004,会员加载失败,重试,V1.3.0,visual/states/ME-004-S05.png,STATE_OR_COMPONENT_TEST,NO
ME-005-S01,ME-005,账户加载,双卡骨架,V1.3.0,visual/states/ME-005-S01.png,STATE_OR_COMPONENT_TEST,NO
ME-005-S02,ME-005,只读余额,佣金和任务账户真实余额,V1.3.0,visual/states/ME-005-S02.png,EMULATOR_VISUAL_SMOKE,YES
ME-005-S03,ME-005,账户加载失败,重试,V1.3.0,visual/states/ME-005-S03.png,STATE_OR_COMPONENT_TEST,NO
ME-006-S01,ME-006,道具加载,卡片骨架,V1.3.0,visual/states/ME-006-S01.png,STATE_OR_COMPONENT_TEST,NO
ME-006-S02,ME-006,道具展示,后台配置的四类道具,V1.3.0,visual/states/ME-006-S02.png,EMULATOR_VISUAL_SMOKE,YES
ME-006-S03,ME-006,无展示道具,管理员未启用,V1.3.0,visual/states/ME-006-S03.png,STATE_OR_COMPONENT_TEST,NO
ME-006-S04,ME-006,离线缓存,最近展示配置,V1.3.0,visual/states/ME-006-S04.png,STATE_OR_COMPONENT_TEST,NO
ME-006-S05,ME-006,道具加载失败,重试,V1.3.0,visual/states/ME-006-S05.png,STATE_OR_COMPONENT_TEST,NO
ME-007-S01,ME-007,浏览记录未开放,明确一期不实现,V1.3.0,visual/states/ME-007-S01.png,STATE_OR_COMPONENT_TEST,NO
ME-008-S01,ME-008,收藏未开放,明确一期不实现,V1.3.0,visual/states/ME-008-S01.png,STATE_OR_COMPONENT_TEST,NO
ME-009-S01,ME-009,实名认证未开放,明确一期不采集身份信息,V1.3.0,visual/states/ME-009-S01.png,STATE_OR_COMPONENT_TEST,NO
ME-010-S01,ME-010,客服配置加载,骨架,V1.3.0,visual/states/ME-010-S01.png,STATE_OR_COMPONENT_TEST,NO
ME-010-S02,ME-010,客服信息,电话/微信/网址按后台配置,V1.3.0,visual/states/ME-010-S02.png,EMULATOR_VISUAL_SMOKE,YES
ME-010-S03,ME-010,复制成功,Snackbar,V1.3.0,visual/states/ME-010-S03.png,STATE_OR_COMPONENT_TEST,NO
ME-010-S04,ME-010,外部应用不可用,回退,V1.3.0,visual/states/ME-010-S04.png,STATE_OR_COMPONENT_TEST,NO
ME-010-S05,ME-010,配置失败,重试,V1.3.0,visual/states/ME-010-S05.png,STATE_OR_COMPONENT_TEST,NO
ME-011-S01,ME-011,设置列表,仅已规划入口,V1.3.0,visual/states/ME-011-S01.png,EMULATOR_VISUAL_SMOKE,YES
ME-011-S02,ME-011,清理缓存中,进度,V1.3.0,visual/states/ME-011-S02.png,STATE_OR_COMPONENT_TEST,NO
ME-011-S03,ME-011,清理成功,Snackbar,V1.3.0,visual/states/ME-011-S03.png,STATE_OR_COMPONENT_TEST,NO
ME-011-S04,ME-011,清理失败,错误提示,V1.3.0,visual/states/ME-011-S04.png,STATE_OR_COMPONENT_TEST,NO
ME-011-S05,ME-011,离线设置,本地操作可用，网络操作说明,V1.3.0,visual/states/ME-011-S05.png,STATE_OR_COMPONENT_TEST,NO
ME-012-S01,ME-012,关于信息,版本和品牌,V1.3.0,visual/states/ME-012-S01.png,EMULATOR_VISUAL_SMOKE,YES
ME-012-S02,ME-012,检查更新,进度,V1.4.0,visual/states/ME-012-S02.png,STATE_OR_COMPONENT_TEST,NO
ME-012-S03,ME-012,已是最新版,结果提示,V1.4.0,visual/states/ME-012-S03.png,STATE_OR_COMPONENT_TEST,NO
ME-012-S04,ME-012,发现更新,进入更新页,V1.4.0,visual/states/ME-012-S04.png,STATE_OR_COMPONENT_TEST,NO
ME-012-S05,ME-012,检查失败,重试,V1.4.0,visual/states/ME-012-S05.png,STATE_OR_COMPONENT_TEST,NO
