state_id,page_id,page_name,state_name,original_release,implementation_version,reference_path,sha256,visual_role,blocking_visual_gate
SYS-001-S05,SYS-001,启动与路由判定,发现可选更新,V1.4.0,V1.4.0,visual/states/SYS-001-S05.png,7aa9ee471b25cd5a35b54a4eee65c3a5bfa494e8cf191a44ec5d576c3d3c157a,REFERENCE_APPROVED,YES
SYS-001-S06,SYS-001,启动与路由判定,发现强制更新,V1.4.0,V1.4.0,visual/states/SYS-001-S06.png,dcc5e89581686e684424a80ac6369d350220d8d949e3c87cba8fb9b531bb9b0b,REFERENCE_APPROVED,YES
SYS-001-S07,SYS-001,启动与路由判定,维护模式,V1.4.0,V1.4.0,visual/states/SYS-001-S07.png,27c12ee14a3a91dcd46ec569f6d9b0e0367eb69a7bfd86b117677954106f21e8,REFERENCE_APPROVED,YES
SYS-002-S01,SYS-002,维护、离线与服务不可用,系统维护,V1.0.0,V1.4.0,visual/states/SYS-002-S01.png,7db0f21fdf7b0700e182bf0f09b4a7dac8007d8f9da935a05bf7d8e06ebea8cd,REFERENCE_APPROVED,NO
SYS-002-S05,SYS-002,维护、离线与服务不可用,服务已恢复,V1.4.0,V1.4.0,visual/states/SYS-002-S05.png,e06e40a1d3741ebd0772a763b58b829cb5a1c2fa3a65b86b09f175805c3ca0f1,REFERENCE_APPROVED,NO
SYS-003-S01,SYS-003,版本更新与下载状态,检查版本,V1.4.0,V1.4.0,visual/states/SYS-003-S01.png,54f56317e62fe1c4743c9adf78506b65d66d1adced2d79bdf39fbfaf5f1793e6,REFERENCE_APPROVED,NO
SYS-003-S02,SYS-003,版本更新与下载状态,已是最新版,V1.4.0,V1.4.0,visual/states/SYS-003-S02.png,75fa18b40d4a0a0d448dc41eaea90264ab71edd2e626dd1dc7ca5b862ab31c64,REFERENCE_APPROVED,YES
SYS-003-S03,SYS-003,版本更新与下载状态,可选更新可用,V1.4.0,V1.4.0,visual/states/SYS-003-S03.png,c740cf1fb066d92fca849d570f3cd5b3188fa740e1cd198de9707fac9728f8b9,REFERENCE_APPROVED,YES
SYS-003-S04,SYS-003,版本更新与下载状态,强制更新可用,V1.4.0,V1.4.0,visual/states/SYS-003-S04.png,fa428610777a44b92264690069f1f82ce28329db67ab61653c7e367fb4c63ebe,REFERENCE_APPROVED,YES
SYS-003-S05,SYS-003,版本更新与下载状态,正在下载,V1.4.0,V1.4.0,visual/states/SYS-003-S05.png,9a9040ca6bf0513b39c8cd33c66b3c6e963f3d4e38c202506aa650c8ca8feced,REFERENCE_APPROVED,YES
SYS-003-S06,SYS-003,版本更新与下载状态,下载失败,V1.4.0,V1.4.0,visual/states/SYS-003-S06.png,0d0448e073632a25ddf8450f8b8332a81d2a48d28aaf91fa1bc02dd755ea14bd,REFERENCE_APPROVED,NO
SYS-003-S07,SYS-003,版本更新与下载状态,等待安装,V1.4.0,V1.4.0,visual/states/SYS-003-S07.png,675bec65ac60f3176618837eb7f163834ca1aedfe3b4810e2585a00aae64b253,REFERENCE_APPROVED,NO
SYS-003-S08,SYS-003,版本更新与下载状态,安装受阻,V1.4.0,V1.4.0,visual/states/SYS-003-S08.png,ad4cb5c8ce66da8f330c5c0680d51c6a5205ee2aef0ee509a35073b9d9516754,REFERENCE_APPROVED,YES
SYS-OV-001-S01,SYS-OV-001,可选更新弹窗,可选更新,V1.4.0,V1.4.0,visual/states/SYS-OV-001-S01.png,146ead3dae4e03327c5e12e5fcdf13acc67676b980c91952987929464026eee4,REFERENCE_APPROVED,NO
SYS-OV-001-S02,SYS-OV-001,可选更新弹窗,下载中,V1.4.0,V1.4.0,visual/states/SYS-OV-001-S02.png,f9086d2bb0caab582c94ff3de1c8b95fb98bb5cc7bae1d4d2df014b930505525,REFERENCE_APPROVED,NO
SYS-OV-001-S03,SYS-OV-001,可选更新弹窗,下载失败,V1.4.0,V1.4.0,visual/states/SYS-OV-001-S03.png,dcf62920d65ab02abe81ca423a98131cb5b30123ecb8e6e48a421ceb27e416d5,REFERENCE_APPROVED,NO
SYS-OV-002-S01,SYS-OV-002,强制更新弹窗,强制更新,V1.4.0,V1.4.0,visual/states/SYS-OV-002-S01.png,3a7aa2f24cd65fc9af6338dd4b2dadca871abef167ce013ab21c89ae2a3f85ce,REFERENCE_APPROVED,NO
SYS-OV-002-S02,SYS-OV-002,强制更新弹窗,强制更新下载中,V1.4.0,V1.4.0,visual/states/SYS-OV-002-S02.png,240d849834131f3a7655c8ecdeaadcaae2d4541c881a440209d85eac909be80b,REFERENCE_APPROVED,NO
SYS-OV-002-S03,SYS-OV-002,强制更新弹窗,强制更新失败,V1.4.0,V1.4.0,visual/states/SYS-OV-002-S03.png,50a37d5a00d83bd4d577e668d0bcae56798cdf22cbb51fea2d7c21f6b37a5f50,REFERENCE_APPROVED,NO
COM-OV-002-S02,COM-OV-002,阶段功能说明弹窗,会员在线开通未开放,V1.3.0,V1.3.0,visual/states/COM-OV-002-S02.png,15f84e151f5b72c610f6c5c68e5b672fe2e289ddaf648f28192f1e8980878e43,REFERENCE_APPROVED,NO
COM-OV-002-S03,COM-OV-002,阶段功能说明弹窗,账户操作未开放,V1.3.0,V1.3.0,visual/states/COM-OV-002-S03.png,e63f2b848d612609ad18c6cf0e2715a6ec5c20ea3e7fef8bb57e3cbce203264e,REFERENCE_APPROVED,NO
COM-OV-002-S04,COM-OV-002,阶段功能说明弹窗,道具购买未开放,V1.3.0,V1.3.0,visual/states/COM-OV-002-S04.png,612e201fdb8d9feb03cfa5cd5ce3fb9e9436ca0de78c8b7aaf334d797e723f17,REFERENCE_APPROVED,NO
ME-001-S03,ME-001,我的,未开通会员,V1.3.0,V1.3.0,visual/states/ME-001-S03.png,118411f4faaaf5b5eb4f09901c58ca1f1c7837b2981293214840500aa3976e6a,REFERENCE_APPROVED,YES
ME-001-S04,ME-001,我的,已开通会员,V1.3.0,V1.3.0,visual/states/ME-001-S04.png,a81e334a10f05ea50ea099c33a10544ff36410e58dc34571df76f348c54c2a63,REFERENCE_APPROVED,YES
ME-001-S05,ME-001,我的,会员已过期,V1.3.0,V1.3.0,visual/states/ME-001-S05.png,e837aaa9df05825e70c51eb6e652bee26aa99eaa305a1d5aba94234f4f19ab63,REFERENCE_APPROVED,NO
ME-001-S06,ME-001,我的,离线缓存,V1.3.0,V1.3.0,visual/states/ME-001-S06.png,2cdf3e6fe83eea65a15ea6f4dbb3c71650b362ab378bdc1f35aaaa896ced849f,REFERENCE_APPROVED,NO
ME-003-S01,ME-003,个人资料只读页,资料加载,V1.3.0,V1.3.0,visual/states/ME-003-S01.png,972cd026da69012449f2d88bdaafab4a818822190670f7f5648c2ca200dce8c5,REFERENCE_APPROVED,NO
ME-003-S02,ME-003,个人资料只读页,只读资料,V1.3.0,V1.3.0,visual/states/ME-003-S02.png,40b31ef509ab95c9d064149e87a0d972c4a1f640f5065714133bfc795f9652ac,REFERENCE_APPROVED,YES
ME-003-S03,ME-003,个人资料只读页,加载失败,V1.3.0,V1.3.0,visual/states/ME-003-S03.png,c86209e64f34a2d120948f9e44bd7303a83f47f2d442093627a544fd0e323066,REFERENCE_APPROVED,NO
ME-004-S01,ME-004,会员中心展示,会员加载,V1.3.0,V1.3.0,visual/states/ME-004-S01.png,ec86cbe3ae677e9ee3115648bd743a66b897dfcc5e14d3405a8259cf1853b434,REFERENCE_APPROVED,NO
ME-004-S02,ME-004,会员中心展示,未开通,V1.3.0,V1.3.0,visual/states/ME-004-S02.png,1733f3e4120d540b5b0662346fea5ab2a2af5de0502e822dde303f0a15e1fc7b,REFERENCE_APPROVED,YES
ME-004-S03,ME-004,会员中心展示,有效会员,V1.3.0,V1.3.0,visual/states/ME-004-S03.png,2b83c40ee6067816e999847a7543ac424e025f5d43a6f57083e31afcb96ee650,REFERENCE_APPROVED,YES
ME-004-S04,ME-004,会员中心展示,已过期,V1.3.0,V1.3.0,visual/states/ME-004-S04.png,0b1c4c4477c9372c93115d3f0fa32296fb524fac24b950313c4564ed2530656e,REFERENCE_APPROVED,NO
ME-004-S05,ME-004,会员中心展示,会员加载失败,V1.3.0,V1.3.0,visual/states/ME-004-S05.png,32c3a28acc02bf2faf37be70742f9baf0becb9137a61caff0b4cb3ac09943de6,REFERENCE_APPROVED,NO
ME-005-S01,ME-005,账户余额展示,账户加载,V1.3.0,V1.3.0,visual/states/ME-005-S01.png,7d7fc65ec9221a3bae54848e02b43230a49cee53b74a5f9de1f61616276c23b4,REFERENCE_APPROVED,NO
ME-005-S02,ME-005,账户余额展示,只读余额,V1.3.0,V1.3.0,visual/states/ME-005-S02.png,dd872ad3a3cea402cc08589fe4bd94d43292cf5c4d6a72c58c2178df1702b60e,REFERENCE_APPROVED,YES
ME-005-S03,ME-005,账户余额展示,账户加载失败,V1.3.0,V1.3.0,visual/states/ME-005-S03.png,40237f564bfca96787e3b913bafc24a5eae63936cbe634d99fd59f48daf701d1,REFERENCE_APPROVED,NO
