state_id,page_id,state_name,reference_file,implementation_status,code_location,notes
DS-001-S01,DS-001,完整规范,ui-reference/detailed/V1.0.0/DS-001-S01.png,PENDING,,
DS-002-S01,DS-002,完整组件,ui-reference/detailed/V1.0.0/DS-002-S01.png,PENDING,,
DS-003-S01,DS-003,完整状态,ui-reference/detailed/V1.0.0/DS-003-S01.png,PENDING,,
SYS-001-S01,SYS-001,启动检查,ui-reference/detailed/V1.0.0/SYS-001-S01.png,PENDING,,
SYS-001-S02,SYS-001,需要登录,ui-reference/detailed/V1.0.0/SYS-001-S02.png,PENDING,,
SYS-001-S03,SYS-001,进入首页,ui-reference/detailed/V1.0.0/SYS-001-S03.png,PENDING,,
SYS-001-S08,SYS-001,启动配置失败,ui-reference/detailed/V1.0.0/SYS-001-S08.png,PENDING,,
SYS-002-S02,SYS-002,服务不可用,ui-reference/detailed/V1.0.0/SYS-002-S02.png,PENDING,,
SYS-002-S04,SYS-002,系统异常,ui-reference/detailed/V1.0.0/SYS-002-S04.png,PENDING,,
COM-OV-002-S01,COM-OV-002,发布尚未开放,ui-reference/detailed/V1.0.0/COM-OV-002-S01.png,PENDING,,
AUTH-001-S01,AUTH-001,密码登录默认,ui-reference/detailed/V1.0.0/AUTH-001-S01.png,PENDING,,
AUTH-001-S02,AUTH-001,短信登录默认,ui-reference/detailed/V1.0.0/AUTH-001-S02.png,PENDING,,
AUTH-001-S03,AUTH-001,输入聚焦,ui-reference/detailed/V1.0.0/AUTH-001-S03.png,PENDING,,
AUTH-001-S04,AUTH-001,本地校验错误,ui-reference/detailed/V1.0.0/AUTH-001-S04.png,PENDING,,
AUTH-001-S05,AUTH-001,短信发送中,ui-reference/detailed/V1.0.0/AUTH-001-S05.png,PENDING,,
AUTH-001-S06,AUTH-001,短信已发送,ui-reference/detailed/V1.0.0/AUTH-001-S06.png,PENDING,,
AUTH-001-S07,AUTH-001,等待安全验证码,ui-reference/detailed/V1.0.0/AUTH-001-S07.png,PENDING,,
AUTH-001-S08,AUTH-001,登录提交中,ui-reference/detailed/V1.0.0/AUTH-001-S08.png,PENDING,,
AUTH-001-S09,AUTH-001,登录成功,ui-reference/detailed/V1.0.0/AUTH-001-S09.png,PENDING,,
AUTH-001-S10,AUTH-001,手机号或密码错误,ui-reference/detailed/V1.0.0/AUTH-001-S10.png,PENDING,,
