operation_id,method,path,plugin,feature_id,introduced_in,auth,request_contract,success_response_contract,error_codes,idempotency,rate_limit,transport,response_envelope
getBootstrap,GET,/v1/bootstrap,stk_auth,FND-002,V1.0.0,OPTIONAL_BEARER,"headers: app_version,version_code,device_id,locale","maintenance,auth_state,feature_flags,legal_versions,external_link_policy,release_policy",SYS_MAINTENANCE|AUTH_TOKEN_EXPIRED|SYS_UNAVAILABLE,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
getCaptchaChallenge,POST,/v1/auth/captcha/challenges,stk_auth,AUTH-004,V1.0.0,ANONYMOUS,"action,password_login|sms_send|sms_login|register|password_reset; device_id","challenge_id,image_base64_or_url,expires_in",CAPTCHA_RATE_LIMITED|CAPTCHA_UNAVAILABLE,Idempotency-Key optional,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
verifyCaptcha,POST,/v1/auth/captcha/verify,stk_auth,AUTH-004,V1.0.0,ANONYMOUS,"challenge_id,answer,action,device_id","captcha_ticket,ticket_expires_in",CAPTCHA_INVALID|CAPTCHA_EXPIRED|CAPTCHA_ATTEMPTS_EXCEEDED,challenge one-use,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
sendSmsCode,POST,/v1/auth/sms/send,stk_auth,AUTH-002,V1.0.0,ANONYMOUS,"mobile,scene=login|password_reset,captcha_ticket,device_id","request_id,resend_after,expires_in,masked_mobile",SMS_RATE_LIMITED|SMS_PROVIDER_FAILED|SMS_SCENE_DISABLED|CAPTCHA_TICKET_INVALID,Idempotency-Key required,手机号+IP+设备+场景四维限流,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
loginWithPassword,POST,/v1/auth/login/password,stk_auth,AUTH-001,V1.0.0,ANONYMOUS,"mobile,password,captcha_ticket,device_id,device_name","access_token,access_expires_in,refresh_token,refresh_expires_in,user,next_route",AUTH_INVALID_CREDENTIALS|AUTH_ACCOUNT_BLOCKED|CAPTCHA_TICKET_INVALID,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
loginWithSms,POST,/v1/auth/login/sms,stk_auth,AUTH-002,V1.0.0,ANONYMOUS,"mobile,sms_code,captcha_ticket,device_id,device_name","access_token,access_expires_in,refresh_token,refresh_expires_in,user,next_route",SMS_CODE_INVALID|SMS_CODE_EXPIRED|AUTH_ACCOUNT_BLOCKED|CAPTCHA_TICKET_INVALID,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
registerUser,POST,/v1/auth/register,stk_auth,AUTH-003,V1.0.0,ANONYMOUS,"mobile,password,password_confirmation,agreement_version,privacy_version,captcha_ticket,device_id","uid,username,display_name,masked_mobile,mobile_verified=false,tokens,next_route",AUTH_MOBILE_EXISTS|AUTH_PASSWORD_WEAK|LEGAL_VERSION_STALE|CAPTCHA_TICKET_INVALID,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
resetPassword,POST,/v1/auth/password/reset,stk_auth,AUTH-005,V1.0.0,ANONYMOUS,"mobile,sms_code,new_password,password_confirmation,captcha_ticket,device_id","reset=true,next_route",SMS_CODE_INVALID|SMS_CODE_EXPIRED|AUTH_PASSWORD_WEAK|CAPTCHA_TICKET_INVALID,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
refreshToken,POST,/v1/auth/token/refresh,stk_auth,AUTH-006,V1.0.0,REFRESH_TOKEN,"refresh_token,device_id",rotated access_token and refresh_token,AUTH_REFRESH_INVALID|AUTH_TOKEN_REUSED|AUTH_ACCOUNT_BLOCKED,refresh token rotates atomically,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
logout,POST,/v1/auth/logout,stk_auth,AUTH-006,V1.0.0,BEARER,"refresh_token_family,device_id",revoked=true,AUTH_TOKEN_INVALID,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
getMySummary,GET,/v1/me/summary,stk_auth,PROFILE-001,V1.0.0,BEARER,none,"uid,display_name,avatar_url,masked_mobile,mobile_verified,member_summary,wallet_summary",AUTH_TOKEN_EXPIRED|AUTH_ACCOUNT_BLOCKED,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
getLegalDocument,GET,/v1/legal/{document_type},stk_auth,AUTH-007,V1.0.0,ANONYMOUS,document_type=user_agreement|privacy_policy,"document_type,version,effective_at,title,content_html_sanitized,content_text,sha256",LEGAL_NOT_FOUND,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
listProjectCategories,GET,/v1/project/categories,stk_project,HOME-002,V1.0.0,BEARER,include_all=true,"categories[id,name,icon_url,sort_order]",PROJECT_CATEGORY_UNAVAILABLE,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
listProjects,GET,/v1/projects,stk_project,HOME-001,V1.0.0,BEARER,"cursor,limit<=30,keyword,category_id,sort=latest|recommended","items, next_cursor, has_more, applied_filters",PROJECT_QUERY_INVALID|PROJECT_SERVICE_UNAVAILABLE,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
getProjectDetail,GET,/v1/projects/{project_id},stk_project,HOME-003,V1.0.0,BEARER,project_id,"project full detail, images, publisher, contact capability, owner_actions",PROJECT_NOT_FOUND|PROJECT_NOT_VISIBLE,N/A,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
recordProjectView,POST,/v1/projects/{project_id}/views,stk_project,HOME-003,V1.0.0,BEARER,"project_id,view_session_id","counted,view_count",PROJECT_NOT_FOUND,unique project+viewer+time bucket,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
uploadProjectImage,POST,/v1/uploads/project-images,stk_project,PUBLISH-001,V1.2.0,BEARER_MULTIPART,"file,upload_session_id,client_sha256,width,height,mime","asset_id,thumbnail_url,display_url,width,height,size,mime,status",UPLOAD_TOO_LARGE|UPLOAD_TYPE_INVALID|UPLOAD_IMAGE_INVALID|UPLOAD_QUOTA_EXCEEDED,Idempotency-Key required,每用户上传并发2、会话与日配额,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
deleteUploadedImage,DELETE,/v1/uploads/project-images/{asset_id},stk_project,PUBLISH-001,V1.2.0,BEARER,asset_id,deleted=true,UPLOAD_NOT_FOUND|UPLOAD_NOT_OWNER|UPLOAD_ALREADY_ATTACHED,Idempotency-Key required,按全局与场景策略,HTTPS JSON UTF-8,"code,message,data,request_id,server_time"
