config_id,admin_menu_id,config_key,name,type,default,validation,introduced_in,sensitive,runtime_behavior,scope,audit_required
CFG-AUTH-001,ADM-AUTH-002,auth.enabled,登录注册插件开关,boolean,true,true|false,V1.0.0,false,restart_safe,global,true
CFG-AUTH-002,ADM-AUTH-002,auth.force_login,用户前端强制登录,boolean,true,必须保持 true，除维护或紧急恢复外不得关闭,V1.0.0,false,hot_reload,global,true
CFG-AUTH-003,ADM-AUTH-002,auth.login_success_route,登录成功默认路由,route,stk://home,仅允许已登记 stk:// 路由,V1.0.0,false,hot_reload,global,true
CFG-AUTH-004,ADM-AUTH-002,auth.register_success_route,注册成功默认路由,route,stk://home,仅允许已登记 stk:// 路由,V1.0.0,false,hot_reload,global,true
CFG-AUTH-005,ADM-AUTH-002,auth.logout_route,退出后路由,route,stk://auth/login,仅允许登录相关路由,V1.0.0,false,hot_reload,global,true
CFG-AUTH-006,ADM-AUTH-002,auth.default_login_mode,默认登录方式,enum,password,password|sms,V1.0.0,false,hot_reload,global,true
CFG-AUTH-007,ADM-AUTH-004,auth.registration_enabled,开放注册,boolean,true,true|false,V1.0.0,false,hot_reload,global,true
CFG-AUTH-008,ADM-AUTH-004,auth.internal_username_prefix,内部用户名规则前缀,string,stk_,"^[a-z][a-z0-9_]{1,12}$",V1.0.0,false,migration_sensitive,global,true
CFG-AUTH-009,ADM-AUTH-004,auth.display_name_prefix,默认显示昵称前缀,string,商推客用户,1-12 个中文/字母/数字,V1.0.0,false,hot_reload,global,true
CFG-AUTH-010,ADM-AUTH-004,auth.mobile_country_code,默认国家码,string,+86,当前版本固定 +86,V1.0.0,false,hot_reload,global,true
CFG-AUTH-011,ADM-AUTH-003,auth.password_min_length,密码最短长度,integer,8,8..32,V1.0.0,false,hot_reload,global,true
CFG-AUTH-012,ADM-AUTH-003,auth.password_max_length,密码最长长度,integer,32,16..64 且不小于最短长度,V1.0.0,false,hot_reload,global,true
CFG-AUTH-013,ADM-AUTH-003,auth.password_category_min,密码字符类别最少数,integer,2,1..4；数字/小写/大写/符号,V1.0.0,false,hot_reload,global,true
CFG-AUTH-014,ADM-AUTH-003,auth.login_failure_limit,连续登录失败上限,integer,5,3..10,V1.0.0,false,hot_reload,global,true
CFG-AUTH-015,ADM-AUTH-003,auth.login_lock_seconds,登录锁定秒数,integer,900,60..86400,V1.0.0,false,hot_reload,global,true
CFG-AUTH-016,ADM-AUTH-003,auth.access_token_ttl_seconds,Access Token 有效期,integer,7200,900..14400,V1.0.0,false,hot_reload,global,true
CFG-AUTH-017,ADM-AUTH-003,auth.refresh_token_ttl_seconds,Refresh Token 有效期,integer,2592000,86400..7776000,V1.0.0,false,hot_reload,global,true
CFG-AUTH-018,ADM-AUTH-003,auth.max_active_devices,每账号活跃设备上限,integer,5,1..20,V1.0.0,false,hot_reload,global,true
CFG-AUTH-019,ADM-AUTH-003,auth.refresh_rotation_enabled,刷新令牌轮换,boolean,true,必须为 true,V1.0.0,false,hot_reload,global,true
CFG-AUTH-020,ADM-AUTH-003,auth.revoke_on_password_reset,重置密码撤销全部令牌,boolean,true,必须为 true,V1.0.0,false,hot_reload,global,true
CFG-CAP-001,ADM-AUTH-005,captcha.enabled,安全验证码开关,boolean,true,必须为 true,V1.0.0,false,hot_reload,global,true
CFG-CAP-002,ADM-AUTH-005,captcha.type,验证码类型,enum,alphanumeric_image,alphanumeric_image|arithmetic_image,V1.0.0,false,hot_reload,global,true
CFG-CAP-003,ADM-AUTH-005,captcha.length,验证码长度,integer,4,4..6,V1.0.0,false,hot_reload,global,true
CFG-CAP-004,ADM-AUTH-005,captcha.challenge_ttl_seconds,Challenge 有效期,integer,120,60..300,V1.0.0,false,hot_reload,global,true
CFG-CAP-005,ADM-AUTH-005,captcha.ticket_ttl_seconds,Ticket 有效期,integer,90,30..180,V1.0.0,false,hot_reload,global,true
CFG-CAP-006,ADM-AUTH-005,captcha.max_attempts,单 Challenge 最大错误次数,integer,5,2..10,V1.0.0,false,hot_reload,global,true
CFG-CAP-007,ADM-AUTH-005,captcha.refresh_interval_seconds,刷新最短间隔,integer,3,2..30,V1.0.0,false,hot_reload,global,true
CFG-CAP-008,ADM-AUTH-005,captcha.required_actions,强制动作集合,string_set,"password_login,sms_send,sms_login,register,password_reset",必须包含五个既定动作,V1.0.0,false,hot_reload,global,true
CFG-SMS-001,ADM-AUTH-006,sms.enabled,短信功能开关,boolean,true,true|false；关闭时短信登录和找回密码入口禁用,V1.0.0,false,hot_reload,global,true
CFG-SMS-002,ADM-AUTH-006,sms.aliyun_access_key_id,阿里云 RAM AccessKey ID,secret_string,未配置,非空且由独立 RAM 用户提供,V1.0.0,true,encrypted_reload,global,true
CFG-SMS-003,ADM-AUTH-006,sms.aliyun_access_key_secret,阿里云 RAM AccessKey Secret,secret_string,未配置,非空；保存后永不完整回显,V1.0.0,true,encrypted_reload,global,true
CFG-SMS-004,ADM-AUTH-006,sms.aliyun_region,阿里云短信地域,string,cn-hangzhou,允许阿里云短信支持的 Region,V1.0.0,false,hot_reload,global,true
CFG-SMS-005,ADM-AUTH-006,sms.sign_name,短信签名,string,未配置,必须为阿里云已审核签名,V1.0.0,false,hot_reload,global,true
CFG-SMS-006,ADM-AUTH-006,sms.login_template_code,登录验证码模板,string,未配置,^SMS_[0-9]+$,V1.0.0,false,hot_reload,global,true
CFG-SMS-007,ADM-AUTH-006,sms.reset_template_code,重置密码模板,string,未配置,^SMS_[0-9]+$,V1.0.0,false,hot_reload,global,true
CFG-SMS-008,ADM-AUTH-006,sms.template_code_variable,验证码变量名,string,code,"^[a-zA-Z][a-zA-Z0-9_]{0,31}$",V1.0.0,false,hot_reload,global,true
CFG-SMS-009,ADM-AUTH-006,sms.code_digits,短信验证码位数,integer,6,4..8,V1.0.0,false,hot_reload,global,true
CFG-SMS-010,ADM-AUTH-006,sms.code_ttl_seconds,短信验证码有效期,integer,300,60..900,V1.0.0,false,hot_reload,global,true
CFG-SMS-011,ADM-AUTH-006,sms.resend_interval_seconds,重发间隔,integer,60,30..300,V1.0.0,false,hot_reload,global,true
CFG-SMS-012,ADM-AUTH-006,sms.phone_hour_limit,单手机号每小时上限,integer,5,1..20,V1.0.0,false,hot_reload,global,true
CFG-SMS-013,ADM-AUTH-006,sms.phone_day_limit,单手机号每日上限,integer,10,1..50,V1.0.0,false,hot_reload,global,true
CFG-SMS-014,ADM-AUTH-006,sms.ip_hour_limit,单 IP 每小时上限,integer,20,5..200,V1.0.0,false,hot_reload,global,true
CFG-SMS-015,ADM-AUTH-006,sms.device_hour_limit,单设备每小时上限,integer,10,3..100,V1.0.0,false,hot_reload,global,true
CFG-SMS-016,ADM-AUTH-006,sms.provider_timeout_seconds,阿里云请求超时,integer,5,2..15,V1.0.0,false,hot_reload,global,true
CFG-SMS-017,ADM-AUTH-006,sms.receipt_query_enabled,短信回执查询,boolean,true,true|false,V1.0.0,false,hot_reload,global,true
CFG-SMS-018,ADM-AUTH-006,sms.test_mobile,后台测试手机号,secret_string,未配置,中国大陆手机号；仅测试时使用,V1.0.0,true,hot_reload,global,true
CFG-SMS-019,ADM-AUTH-007,sms.code_reveal_roles,验证码明文查看角色,string_set,"super_admin,sms_auditor",不得包含普通运营角色,V1.0.0,false,hot_reload,global,true
CFG-SMS-020,ADM-AUTH-007,sms.code_ciphertext_retention_days,验证码密文保留天数,integer,90,7..180,V1.0.0,false,hot_reload,global,true
CFG-LEGAL-001,ADM-AUTH-012,legal.agreement_current_version,用户协议当前版本,string,1.0,"^[0-9]+(\.[0-9]+){0,2}$",V1.0.0,false,hot_reload,global,true
CFG-LEGAL-002,ADM-AUTH-012,legal.privacy_current_version,隐私政策当前版本,string,1.0,"^[0-9]+(\.[0-9]+){0,2}$",V1.0.0,false,hot_reload,global,true
CFG-LEGAL-003,ADM-AUTH-012,legal.require_current_version_on_register,注册必须同意当前版本,boolean,true,必须为 true,V1.0.0,false,hot_reload,global,true
CFG-HOME-001,ADM-PROJ-004,home.page_size,首页单次加载数量,integer,10,5..30,V1.0.0,false,hot_reload,global,true
CFG-HOME-002,ADM-PROJ-004,home.default_sort,首页默认排序,enum,latest,latest|recommended,V1.0.0,false,hot_reload,global,true
CFG-HOME-003,ADM-PROJ-004,home.recommended_first,推荐项目优先,boolean,true,true|false,V1.0.0,false,hot_reload,global,true
CFG-HOME-004,ADM-PROJ-004,home.show_category,显示分类,boolean,true,true|false,V1.0.0,false,hot_reload,global,true
CFG-HOME-005,ADM-PROJ-004,home.show_publisher,显示发布者,boolean,true,true|false,V1.0.0,false,hot_reload,global,true
CFG-HOME-006,ADM-PROJ-004,home.show_member_badge,显示会员标识,boolean,true,true|false,V1.0.0,false,hot_reload,global,true
CFG-HOME-007,ADM-PROJ-004,home.show_view_count,显示浏览量,boolean,true,true|false,V1.0.0,false,hot_reload,global,true
CFG-HOME-008,ADM-PROJ-004,home.empty_copy,首页空状态文案,string,暂时还没有可展示的项目,1..80 字,V1.0.0,false,hot_reload,global,true
CFG-HOME-009,ADM-PROJ-004,home.cache_ttl_seconds,首页缓存新鲜期,integer,300,60..3600,V1.1.0,false,hot_reload,global,true
CFG-DETAIL-001,ADM-PROJ-005,detail.contact_login_required,联系方式需登录,boolean,true,必须为 true,V1.0.0,false,hot_reload,global,true
CFG-DETAIL-002,ADM-PROJ-005,detail.view_dedupe_seconds,浏览量去重窗口,integer,1800,60..86400,V1.0.0,false,hot_reload,global,true
CFG-DETAIL-003,ADM-PROJ-005,detail.recommendations_enabled,相关推荐,boolean,true,true|false,V1.0.0,false,hot_reload,global,true
CFG-SEARCH-001,ADM-PROJ-007,search.enabled,搜索开关,boolean,true,true|false,V1.1.0,false,hot_reload,global,true
CFG-SEARCH-002,ADM-PROJ-007,search.min_keyword_length,关键词最短长度,integer,2,1..10,V1.1.0,false,hot_reload,global,true
