batch_id,release_id,domain,mockup_count,mockup_ids,output_root,generation_order,rule
V1.0.0-B01-AUTH,V1.0.0,AUTH,59,M-AUTH-001-S01;M-AUTH-001-S02;M-AUTH-001-S03;M-AUTH-001-S04;M-AUTH-001-S05;M-AUTH-001-S06;M-AUTH-001-S07;M-AUTH-001-S08;M-AUTH-001-S09;M-AUTH-001-S10;M-AUTH-001-S11;M-AUTH-001-S12;M-AUTH-001-S13;M-AUTH-001-S14;M-AUTH-001-S15;M-AUTH-001-S16;M-AUTH-002-S01;M-AUTH-002-S02;M-AUTH-002-S03;M-AUTH-002-S04;M-AUTH-002-S05;M-AUTH-002-S06;M-AUTH-002-S07;M-AUTH-002-S08;M-AUTH-002-S09;M-AUTH-002-S10;M-AUTH-002-S11;M-AUTH-002-S12;M-AUTH-003-S01;M-AUTH-003-S02;M-AUTH-003-S03;M-AUTH-003-S04;M-AUTH-003-S05;M-AUTH-003-S06;M-AUTH-003-S07;M-AUTH-003-S08;M-AUTH-003-S09;M-AUTH-003-S10;M-AUTH-003-S11;M-AUTH-004-S01;M-AUTH-004-S02;M-AUTH-004-S03;M-AUTH-004-S04;M-AUTH-005-S01;M-AUTH-005-S02;M-AUTH-005-S03;M-AUTH-005-S04;M-AUTH-OV-001-S01;M-AUTH-OV-001-S02;M-AUTH-OV-001-S03;M-AUTH-OV-001-S04;M-AUTH-OV-001-S05;M-AUTH-OV-001-S06;M-AUTH-OV-001-S07;M-AUTH-OV-001-S08;M-AUTH-OV-002-S01;M-AUTH-OV-002-S02;M-AUTH-OV-002-S03;M-AUTH-OV-002-S04,ui/mockups/approved/V1.0.0/,1,先生成公共规范板，再按 Page ID/State ID 逐张独立输出；中文必须由确定性字体渲染；禁止拼图替代独立基线
V1.0.0-B02-COMMON,V1.0.0,COMMON,1,M-COM-OV-002-S01,ui/mockups/approved/V1.0.0/,2,先生成公共规范板，再按 Page ID/State ID 逐张独立输出；中文必须由确定性字体渲染；禁止拼图替代独立基线
V1.0.0-B03-DESIGN,V1.0.0,DESIGN,3,M-DS-001-S01;M-DS-002-S01;M-DS-003-S01,ui/mockups/approved/V1.0.0/,3,先生成公共规范板，再按 Page ID/State ID 逐张独立输出；中文必须由确定性字体渲染；禁止拼图替代独立基线
V1.0.0-B04-HOME,V1.0.0,HOME,17,M-HOME-001-S01;M-HOME-001-S02;M-HOME-001-S03;M-HOME-001-S05;M-HOME-001-S06;M-HOME-001-S07;M-HOME-001-S10;M-HOME-001-S11;M-HOME-001-S12;M-HOME-001-S13;M-HOME-004-S01;M-HOME-004-S02;M-HOME-004-S07;M-HOME-004-S08;M-HOME-004-S09;M-HOME-004-S10;M-HOME-004-S11,ui/mockups/approved/V1.0.0/,4,先生成公共规范板，再按 Page ID/State ID 逐张独立输出；中文必须由确定性字体渲染；禁止拼图替代独立基线
V1.0.0-B05-PROFILE,V1.0.0,PROFILE,7,M-ME-001-S01;M-ME-001-S02;M-ME-001-S07;M-ME-001-S08;M-ME-OV-001-S01;M-ME-OV-001-S02;M-ME-OV-001-S03,ui/mockups/approved/V1.0.0/,5,先生成公共规范板，再按 Page ID/State ID 逐张独立输出；中文必须由确定性字体渲染；禁止拼图替代独立基线
V1.0.0-B06-SYSTEM,V1.0.0,SYSTEM,8,M-SYS-001-S01;M-SYS-001-S02;M-SYS-001-S03;M-SYS-001-S08;M-SYS-002-S01;M-SYS-002-S02;M-SYS-002-S03;M-SYS-002-S04,ui/mockups/approved/V1.0.0/,6,先生成公共规范板，再按 Page ID/State ID 逐张独立输出；中文必须由确定性字体渲染；禁止拼图替代独立基线
V1.1.0-B01-COMMON,V1.1.0,COMMON,3,M-COM-OV-001-S01;M-COM-OV-001-S02;M-COM-OV-001-S03,ui/mockups/approved/V1.1.0/,1,先生成公共规范板，再按 Page ID/State ID 逐张独立输出；中文必须由确定性字体渲染；禁止拼图替代独立基线
V1.1.0-B02-HOME,V1.1.0,HOME,25,M-HOME-001-S04;M-HOME-001-S08;M-HOME-001-S09;M-HOME-002-S01;M-HOME-002-S02;M-HOME-002-S03;M-HOME-002-S04;M-HOME-002-S05;M-HOME-002-S06;M-HOME-002-S07;M-HOME-003-S01;M-HOME-003-S02;M-HOME-003-S03;M-HOME-003-S04;M-HOME-004-S06;M-HOME-OV-001-S01;M-HOME-OV-001-S02;M-HOME-OV-001-S03;M-HOME-OV-002-S01;M-HOME-OV-002-S02;M-HOME-OV-002-S03;M-HOME-OV-002-S04;M-HOME-OV-002-S05;M-HOME-OV-002-S06;M-HOME-OV-002-S07,ui/mockups/approved/V1.1.0/,2,先生成公共规范板，再按 Page ID/State ID 逐张独立输出；中文必须由确定性字体渲染；禁止拼图替代独立基线
V1.1.0-B03-SYSTEM,V1.1.0,SYSTEM,1,M-SYS-001-S04,ui/mockups/approved/V1.1.0/,3,先生成公共规范板，再按 Page ID/State ID 逐张独立输出；中文必须由确定性字体渲染；禁止拼图替代独立基线
V1.2.0-B01-HOME,V1.2.0,HOME,3,M-HOME-004-S03;M-HOME-004-S04;M-HOME-004-S05,ui/mockups/approved/V1.2.0/,1,先生成公共规范板，再按 Page ID/State ID 逐张独立输出；中文必须由确定性字体渲染；禁止拼图替代独立基线
