interaction_id,page_id,feature_id,name,interaction_type,test_tag,precondition,action,target,api_operation_id,introduced_in,expected_result,functional_authority
INT-NAV-001,HOME-001,FND-001,底部导航进入首页,TAP,nav_home,页面处于允许该动作的状态,点击首页,stk://home,LOCAL_NAVIGATION,V1.0.0,进入首页并保留或恢复滚动位置；在首页再次点击回到顶部,contracts/feature-map.yaml
INT-NAV-002,HOME-001,FND-001,底部导航进入发布,TAP,nav_publish,页面处于允许该动作的状态,点击发布,版本化路由,LOCAL_VERSIONED_NAVIGATION,V1.0.0,V1.0/V1.1 打开阶段说明；V1.2 起进入 PUB-001,contracts/feature-map.yaml
INT-NAV-003,HOME-001,FND-001,底部导航进入我的,TAP,nav_me,页面处于允许该动作的状态,点击我的,stk://me,LOCAL_NAVIGATION,V1.0.0,进入我的页面并保留首页状态,contracts/feature-map.yaml
INT-SYS-001,SYS-001,FND-002,重试启动配置,TAP,bootstrap_retry,页面处于允许该动作的状态,点击重试,重新执行启动编排,getBootstrap,V1.0.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SYS-002,SYS-001,FND-002,离线进入缓存首页,TAP,bootstrap_continue_offline,存在有效本地登录态与首页缓存,点击离线进入,stk://home,LOCAL_CACHE_ROUTE,V1.0.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SYS-003,SYS-002,FND-002,服务异常重试,TAP,system_retry,页面处于允许该动作的状态,点击重试,上一次安全请求,LOCAL_RETRY,V1.0.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-SYS-004,SYS-002,PROFILE-005,打开客服,TAP,system_open_support,页面处于允许该动作的状态,点击联系客服,stk://me/support,LOCAL_NAVIGATION,V1.3.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-UPD-001,SYS-003,SYS-001,检查更新,TAP,update_check,页面处于允许该动作的状态,点击检查更新,版本服务,getCurrentRelease,V1.4.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-UPD-002,SYS-003,SYS-001,开始下载更新,TAP,update_download,页面处于允许该动作的状态,点击下载,受控 APK 下载,DOWNLOAD_RELEASE_APK,V1.4.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-UPD-003,SYS-003,SYS-001,重试更新下载,TAP,update_retry,页面处于允许该动作的状态,点击重试,受控 APK 下载,DOWNLOAD_RELEASE_APK,V1.4.0,产生合同规定的唯一结果,contracts/feature-map.yaml
INT-UPD-004,SYS-003,SYS-001,启动系统安装器,TAP,update_install,APK SHA-256、包名和签名校验通过,点击安装,Android Package Installer,LOCAL_PACKAGE_INSTALL,V1.4.0,产生合同规定的唯一结果,contracts/feature-map.yaml
