state_id,page_id,page_name,state_name,original_release,implementation_version,reference_path,sha256,visual_role,blocking_visual_gate
DS-001-S01,DS-001,色彩、字体、间距与圆角规范板,完整规范,V1.0.0,V1.0.0,visual/states/DS-001-S01.png,ef1320047d4a5e88a783335f3eaab0ce6e59bdd60ff3aec94259dd6fdf18bfdf,REFERENCE_APPROVED,NO
DS-002-S01,DS-002,公共组件规范板,完整组件,V1.0.0,V1.0.0,visual/states/DS-002-S01.png,b2fa4265749d402580dff911b3853ab0e0de595be8132b6c11a76665d76048b0,REFERENCE_APPROVED,NO
DS-003-S01,DS-003,全局状态与反馈规范板,完整状态,V1.0.0,V1.0.0,visual/states/DS-003-S01.png,b4ae90c772e4c4a3f177678088ed6020856d35c31923e14f4849ee822f808f73,REFERENCE_APPROVED,NO
SYS-001-S01,SYS-001,启动与路由判定,启动检查,V1.0.0,V1.0.0,visual/states/SYS-001-S01.png,71b0bfb9f36c7e2b16aad5ea59753d06943e41da8c4be0b9380d105908ad2623,REFERENCE_APPROVED,YES
SYS-001-S02,SYS-001,启动与路由判定,需要登录,V1.0.0,V1.0.0,visual/states/SYS-001-S02.png,c4586581ef9b33dc51b1144cf3f29620607209c78d611239dbd1d356fcd983c9,REFERENCE_APPROVED,NO
SYS-001-S03,SYS-001,启动与路由判定,进入首页,V1.0.0,V1.0.0,visual/states/SYS-001-S03.png,9f499701232b0ae63f89de95bce1f84017b190f9e3f9945d7962dd6b8f662183,REFERENCE_APPROVED,NO
SYS-001-S08,SYS-001,启动与路由判定,启动配置失败,V1.0.0,V1.0.0,visual/states/SYS-001-S08.png,04b26d0c3da930bf1c63303450b5f4fa927ca554a22df87210da7ae22b6d293f,REFERENCE_APPROVED,NO
SYS-002-S02,SYS-002,维护、离线与服务不可用,服务不可用,V1.0.0,V1.0.0,visual/states/SYS-002-S02.png,9326bed8e9dadd3e487f4a2cd428318d789f9a4c643fa361f4c81a688fb90257,REFERENCE_APPROVED,NO
SYS-002-S04,SYS-002,维护、离线与服务不可用,系统异常,V1.0.0,V1.0.0,visual/states/SYS-002-S04.png,7a2fab33083f0cb017f818d95e66e4bbcf5cb89bf609be710c4a09298c0ee730,REFERENCE_APPROVED,NO
COM-OV-002-S01,COM-OV-002,阶段功能说明弹窗,发布尚未开放,V1.0.0,V1.0.0,visual/states/COM-OV-002-S01.png,96c58e70971d064f4926eed34108b5eb96717273837d9f2fa5d7b8b2ee56a97c,REFERENCE_APPROVED,NO
AUTH-001-S01,AUTH-001,登录,密码登录默认,V1.0.0,V1.0.0,visual/states/AUTH-001-S01.png,4352bf9e9a1a2f2b64cd54656c0878991f74ef0c4a0b977b6f9de4137ef7905f,REFERENCE_APPROVED,YES
AUTH-001-S02,AUTH-001,登录,短信登录默认,V1.0.0,V1.0.0,visual/states/AUTH-001-S02.png,5f1cc2580b2e59b73fc66185b5c63dbd2ad5c9fa41f31f7525ef565b736aae0f,REFERENCE_APPROVED,YES
AUTH-001-S03,AUTH-001,登录,输入聚焦,V1.0.0,V1.0.0,visual/states/AUTH-001-S03.png,731a0ebc78403ff0e154c100619850218f84c2c9574b390b7c08c7e088bd1886,REFERENCE_APPROVED,NO
AUTH-001-S04,AUTH-001,登录,本地校验错误,V1.0.0,V1.0.0,visual/states/AUTH-001-S04.png,6cb7274be5decff550028466d4a9c56badd2ed07114e481ec6686958580829c9,REFERENCE_APPROVED,NO
AUTH-001-S05,AUTH-001,登录,短信发送中,V1.0.0,V1.0.0,visual/states/AUTH-001-S05.png,284a479d9be94a005b54d786ee0aa478804c3d94287d24848d850c98743e91f6,REFERENCE_APPROVED,NO
AUTH-001-S06,AUTH-001,登录,短信已发送,V1.0.0,V1.0.0,visual/states/AUTH-001-S06.png,1cb38e15391acd37ea535ab5f5d5a0db536a794297715853f2a9903196071de6,REFERENCE_APPROVED,NO
AUTH-001-S07,AUTH-001,登录,等待安全验证码,V1.0.0,V1.0.0,visual/states/AUTH-001-S07.png,cc97f8f3f2edbf819b6cf62f37f0885a0d3b0ccac4eae4e720b238b2514e164b,REFERENCE_APPROVED,NO
AUTH-001-S08,AUTH-001,登录,登录提交中,V1.0.0,V1.0.0,visual/states/AUTH-001-S08.png,66aaf418aa3ed2dc1c47c28305048d1ed15b77b10ae96b05b1fd76eb19027329,REFERENCE_APPROVED,NO
AUTH-001-S09,AUTH-001,登录,登录成功,V1.0.0,V1.0.0,visual/states/AUTH-001-S09.png,7cd9b96dddc5f9f726743c00866da5924c4dd9ffffc86f6b367930148d4121b7,REFERENCE_APPROVED,NO
AUTH-001-S10,AUTH-001,登录,手机号或密码错误,V1.0.0,V1.0.0,visual/states/AUTH-001-S10.png,fb6f2863f45cc148379a511ec277c062b23c38ea4ef597b0896af4cab594a452,REFERENCE_APPROVED,YES
AUTH-001-S11,AUTH-001,登录,短信验证码错误,V1.0.0,V1.0.0,visual/states/AUTH-001-S11.png,9e7a5ba725a2f73e4572bda5d2324cef9aa762c33b5e37a1134cfbb4a8685d07,REFERENCE_APPROVED,NO
AUTH-001-S12,AUTH-001,登录,短信验证码过期,V1.0.0,V1.0.0,visual/states/AUTH-001-S12.png,72b76049f4ac9f049bd6f8378dd79ce949051ade00da11b3f0fc46c6494ba717,REFERENCE_APPROVED,NO
AUTH-001-S13,AUTH-001,登录,操作过于频繁,V1.0.0,V1.0.0,visual/states/AUTH-001-S13.png,c223fbd193c42aea4c30a4c889dbef4a917aabb220b44bf593fabe45033fc38e,REFERENCE_APPROVED,NO
AUTH-001-S14,AUTH-001,登录,账号受限,V1.0.0,V1.0.0,visual/states/AUTH-001-S14.png,1d28459892684cc1d78c36817f0696ace63eefe4358e75d407bc89a613d928d0,REFERENCE_APPROVED,NO
AUTH-001-S15,AUTH-001,登录,网络错误,V1.0.0,V1.0.0,visual/states/AUTH-001-S15.png,b6b0fa5f9183d24c09ae360c93c4d77bad35389dcff1a95fe50076a389d9c3af,REFERENCE_APPROVED,NO
AUTH-001-S16,AUTH-001,登录,请求超时,V1.0.0,V1.0.0,visual/states/AUTH-001-S16.png,6669f5e715787cef13b89050b22c021ffbec898d75da96874b82bb8023e9bee4,REFERENCE_APPROVED,NO
AUTH-002-S01,AUTH-002,注册,注册默认,V1.0.0,V1.0.0,visual/states/AUTH-002-S01.png,9cad417b3fd585dfa9fc53a8d4fd10ba4994e5f824e34819245fc9ff0898ddd0,REFERENCE_APPROVED,YES
