state_id,page_id,page_name,state_name,original_release,implementation_version,reference_path,sha256,visual_role,blocking_visual_gate
SYS-001-S04,SYS-001,启动与路由判定,离线但有登录态,V1.1.0,V1.1.0,visual/states/SYS-001-S04.png,81c83d2c0205137c0d70e606b5f4ff678f5bf778c07e02c1e80dcea68c09d333,REFERENCE_APPROVED,NO
SYS-002-S03,SYS-002,维护、离线与服务不可用,离线且无缓存,V1.0.0,V1.1.0,visual/states/SYS-002-S03.png,c7cbc1582b17b076ac5ce903580504182fc692a66cbced30859faeaf852fa4fb,REFERENCE_APPROVED,NO
COM-OV-001-S01,COM-OV-001,受控外部链接确认,白名单外链确认,V1.1.0,V1.1.0,visual/states/COM-OV-001-S01.png,386e8ffb218dd0e1adea4defd2cb847402e1b79abd4d84723edf5f2c5331d633,REFERENCE_APPROVED,NO
COM-OV-001-S02,COM-OV-001,受控外部链接确认,外链被阻断,V1.1.0,V1.1.0,visual/states/COM-OV-001-S02.png,19b86666aa8686adfdaa3f95caa3f42bf70e7de507c68e085336308b7165dd26,REFERENCE_APPROVED,NO
COM-OV-001-S03,COM-OV-001,受控外部链接确认,目标应用未安装,V1.1.0,V1.1.0,visual/states/COM-OV-001-S03.png,f984de5ac0bc03853204397b8dadd9fd785bb76326fd0a8f4e6344bc5380bd2e,REFERENCE_APPROVED,NO
HOME-001-S01,HOME-001,首页项目流,首次骨架,V1.0.0,V1.1.0,visual/states/HOME-001-S01.png,6544a69e7a4461e2bed2905df8717d8b9ede96ac09faba2b09047616a5c817fd,REFERENCE_APPROVED,YES
HOME-001-S02,HOME-001,首页项目流,正常内容,V1.0.0,V1.1.0,visual/states/HOME-001-S02.png,924b3c0791d6da625e66919e425435706326b61cc4f699a93e4b2a1e9373a7e3,REFERENCE_APPROVED,YES
HOME-001-S03,HOME-001,首页项目流,下拉刷新,V1.0.0,V1.1.0,visual/states/HOME-001-S03.png,9ab390f0fb21f2d46d74180875db8b9e296046a27213b79bb6bf0733c108a019,REFERENCE_APPROVED,NO
HOME-001-S04,HOME-001,首页项目流,分类筛选结果,V1.1.0,V1.1.0,visual/states/HOME-001-S04.png,d60c1d4e74da5d5eb2110f8ba322cdfa282b842551f44e6470937acf731d1c67,REFERENCE_APPROVED,YES
HOME-001-S05,HOME-001,首页项目流,加载下一页,V1.0.0,V1.1.0,visual/states/HOME-001-S05.png,f91a9d74393bb883c54890583a568fc946b12d42aa408267321ead6a70795618,REFERENCE_APPROVED,NO
