state_id,page_id,state_name,description,implementation_version,visual_reference,automation,release_blocking
PUB-001-S01,PUB-001,空表单,默认发布表单,V1.2.0,visual/PUB-001-S01.png,EMULATOR_VISUAL_SMOKE,YES
PUB-001-S02,PUB-001,已输入草稿,表单内容保留,V1.2.0,visual/PUB-001-S02.png,STATE_OR_COMPONENT_TEST,NO
PUB-001-S07,PUB-001,发布校验错误,字段、图片或协议,V1.2.0,visual/PUB-001-S07.png,STATE_OR_COMPONENT_TEST,NO
PUB-OV-002-S01,PUB-OV-002,放弃未保存内容,继续编辑或放弃,V1.2.0,visual/PUB-OV-002-S01.png,STATE_OR_COMPONENT_TEST,NO
PUB-OV-003-S01,PUB-OV-003,选择联系方式,后台允许类型,V1.2.0,visual/PUB-OV-003-S01.png,STATE_OR_COMPONENT_TEST,NO
PUB-OV-003-S02,PUB-OV-003,已选类型,显示对应输入规则,V1.2.0,visual/PUB-OV-003-S02.png,STATE_OR_COMPONENT_TEST,NO
PUB-OV-003-S03,PUB-OV-003,无可用类型,阻断发布并提示管理员配置,V1.2.0,visual/PUB-OV-003-S03.png,STATE_OR_COMPONENT_TEST,NO
PUB-001-S03,PUB-001,选择图片,系统 Photo Picker,V1.2.0,visual/PUB-001-S03.png,STATE_OR_COMPONENT_TEST,NO
PUB-001-S04,PUB-001,图片压缩,逐张本地处理,V1.2.0,visual/PUB-001-S04.png,STATE_OR_COMPONENT_TEST,NO
PUB-001-S05,PUB-001,图片上传,逐张进度,V1.2.0,visual/PUB-001-S05.png,EMULATOR_VISUAL_SMOKE,YES
PUB-001-S06,PUB-001,部分上传失败,逐张重试/删除,V1.2.0,visual/PUB-001-S06.png,STATE_OR_COMPONENT_TEST,NO
PUB-002-S01,PUB-002,图片排序,网格和封面标识,V1.2.0,visual/PUB-002-S01.png,EMULATOR_VISUAL_SMOKE,YES
PUB-002-S02,PUB-002,拖动排序,拖动反馈和占位,V1.2.0,visual/PUB-002-S02.png,STATE_OR_COMPONENT_TEST,NO
PUB-002-S03,PUB-002,已更换封面,新封面高亮,V1.2.0,visual/PUB-002-S03.png,STATE_OR_COMPONENT_TEST,NO
PUB-002-S04,PUB-002,排序保存失败,保留本地顺序并重试,V1.2.0,visual/PUB-002-S04.png,STATE_OR_COMPONENT_TEST,NO
PUB-OV-001-S01,PUB-OV-001,确认删除图片,取消或删除,V1.2.0,visual/PUB-OV-001-S01.png,STATE_OR_COMPONENT_TEST,NO
PUB-OV-001-S02,PUB-OV-001,删除中,按钮锁定,V1.2.0,visual/PUB-OV-001-S02.png,STATE_OR_COMPONENT_TEST,NO
PUB-OV-001-S03,PUB-OV-001,删除失败,允许重试,V1.2.0,visual/PUB-OV-001-S03.png,STATE_OR_COMPONENT_TEST,NO
PUB-001-S08,PUB-001,提交中,防重复和幂等键,V1.2.0,visual/PUB-001-S08.png,STATE_OR_COMPONENT_TEST,NO
PUB-001-S09,PUB-001,提交成功,进入结果页,V1.2.0,visual/PUB-001-S09.png,EMULATOR_VISUAL_SMOKE,YES
PUB-001-S10,PUB-001,提交网络失败,保留表单和已上传资产,V1.2.0,visual/PUB-001-S10.png,STATE_OR_COMPONENT_TEST,NO
PUB-001-S11,PUB-001,达到每日上限,展示后台配置上限,V1.2.0,visual/PUB-001-S11.png,STATE_OR_COMPONENT_TEST,NO
PUB-001-S12,PUB-001,待审核数量上限,引导管理已有项目,V1.2.0,visual/PUB-001-S12.png,STATE_OR_COMPONENT_TEST,NO
PUB-001-S13,PUB-001,登录过期,安全保存非敏感草稿并重新登录,V1.2.0,visual/PUB-001-S13.png,STATE_OR_COMPONENT_TEST,NO
PUB-003-S01,PUB-003,已提交待审核,进入我的发布,V1.2.0,visual/PUB-003-S01.png,EMULATOR_VISUAL_SMOKE,YES
PUB-003-S02,PUB-003,直接发布成功,查看详情,V1.2.0,visual/PUB-003-S02.png,STATE_OR_COMPONENT_TEST,NO
PUB-003-S03,PUB-003,服务端未接受,返回编辑并保留数据,V1.2.0,visual/PUB-003-S03.png,STATE_OR_COMPONENT_TEST,NO
PUB-004-S01,PUB-004,编辑加载,读取本人项目,V1.2.0,visual/PUB-004-S01.png,STATE_OR_COMPONENT_TEST,NO
PUB-004-S02,PUB-004,编辑内容,已填充表单,V1.2.0,visual/PUB-004-S02.png,EMULATOR_VISUAL_SMOKE,YES
PUB-004-S03,PUB-004,重新审核提示,保存前明确说明,V1.2.0,visual/PUB-004-S03.png,STATE_OR_COMPONENT_TEST,NO
PUB-004-S04,PUB-004,保存中,幂等提交,V1.2.0,visual/PUB-004-S04.png,STATE_OR_COMPONENT_TEST,NO
PUB-004-S05,PUB-004,保存成功,进入真实状态详情,V1.2.0,visual/PUB-004-S05.png,STATE_OR_COMPONENT_TEST,NO
PUB-004-S06,PUB-004,版本冲突,提示刷新后重试,V1.2.0,visual/PUB-004-S06.png,STATE_OR_COMPONENT_TEST,NO
PUB-004-S07,PUB-004,无权或项目不存在,返回我的发布,V1.2.0,visual/PUB-004-S07.png,STATE_OR_COMPONENT_TEST,NO
PUB-004-S08,PUB-004,保存失败,保留表单,V1.2.0,visual/PUB-004-S08.png,STATE_OR_COMPONENT_TEST,NO
HOME-004-S03,HOME-004,本人待审核项目,显示待审核状态和可编辑动作,V1.2.0,visual/HOME-004-S03.png,STATE_OR_COMPONENT_TEST,NO
