state_id,page_id,page_name,state_name,original_release,implementation_version,reference_path,canonical_dp,pixel_size,density,design_system_version,sha256,visual_role,blocking_visual_gate
PUB-001-S01,PUB-001,发布项目,空表单,V1.2.0,V1.2.0,visual/PUB-001-S01.png,390x844,1170x2532,3.0,STK-DS-1.0,401236eb6571f81f218b2137d15c3408d9ff439740538c4612b35a69422ebefd,REFERENCE_APPROVED,YES
PUB-001-S02,PUB-001,发布项目,已输入草稿,V1.2.0,V1.2.0,visual/PUB-001-S02.png,390x844,1170x2532,3.0,STK-DS-1.0,ad3f768f7fbb428f36ad30c5d5feb1347b0a79451bb69fb14843bb87bd37521c,REFERENCE_APPROVED,NO
PUB-001-S07,PUB-001,发布项目,发布校验错误,V1.2.0,V1.2.0,visual/PUB-001-S07.png,390x844,1170x2532,3.0,STK-DS-1.0,7a15de73f04513ab9dbc862a7bf2936b9fd72e8d4d4b0fcbb6e485928d7e384f,REFERENCE_APPROVED,NO
PUB-OV-002-S01,PUB-OV-002,未保存退出确认,放弃未保存内容,V1.2.0,V1.2.0,visual/PUB-OV-002-S01.png,390x844,1170x2532,3.0,STK-DS-1.0,4cb703be06b7f950f373a397b5e25700fcadaad281dee86cf021e712fe21c038,REFERENCE_APPROVED,NO
PUB-OV-003-S01,PUB-OV-003,联系方式类型选择,选择联系方式,V1.2.0,V1.2.0,visual/PUB-OV-003-S01.png,390x844,1170x2532,3.0,STK-DS-1.0,0666d1a5ec27c4cb63057dbde6164cab93331e1c3f092308fd3e9f3103dc6d47,REFERENCE_APPROVED,NO
PUB-OV-003-S02,PUB-OV-003,联系方式类型选择,已选类型,V1.2.0,V1.2.0,visual/PUB-OV-003-S02.png,390x844,1170x2532,3.0,STK-DS-1.0,2e41e882ae8fe1311fd5ec168000e60b524ee3cdbfdf8f7d2159b552c12e7b53,REFERENCE_APPROVED,NO
PUB-OV-003-S03,PUB-OV-003,联系方式类型选择,无可用类型,V1.2.0,V1.2.0,visual/PUB-OV-003-S03.png,390x844,1170x2532,3.0,STK-DS-1.0,a1df12aadbe6901f34f9c657b08cd3bfd2d7288fe0541996d9e7b4c52fcf9553,REFERENCE_APPROVED,NO
PUB-001-S03,PUB-001,发布项目,选择图片,V1.2.0,V1.2.0,visual/PUB-001-S03.png,390x844,1170x2532,3.0,STK-DS-1.0,4ebab6b563d6164ad5f24ed379727f0684d24e9947a15afacb23fa6027cc22ef,REFERENCE_APPROVED,NO
PUB-001-S04,PUB-001,发布项目,图片压缩,V1.2.0,V1.2.0,visual/PUB-001-S04.png,390x844,1170x2532,3.0,STK-DS-1.0,30742e93782c24ef8ed3f2fef3cae41d4f61739bbab2d4f61578b1a19d59f1e4,REFERENCE_APPROVED,NO
PUB-001-S05,PUB-001,发布项目,图片上传,V1.2.0,V1.2.0,visual/PUB-001-S05.png,390x844,1170x2532,3.0,STK-DS-1.0,c4dbd374e7baeecba93ead5cd40e207a7a6faf98ec23f36fcfc05a4c81151d9a,REFERENCE_APPROVED,YES
