mockup_id,page_id,state_id,page_name,state_name,visual_type,file_path,canonical_dp,pixel_size,density,design_system_version,release_id,status,sha256,approved_by,approved_at,functional_scope_note
M-SYS-001-S05,SYS-001,SYS-001-S05,启动与路由判定,发现可选更新,PAGE,ui/mockups/approved/V1.4.0/SYS-001/M-SYS-001-S05__OPTIONAL_UPDATE__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.4.0,APPROVED,7aa9ee471b25cd5a35b54a4eee65c3a5bfa494e8cf191a44ec5d576c3d3c157a,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-SYS-001-S06,SYS-001,SYS-001-S06,启动与路由判定,发现强制更新,PAGE,ui/mockups/approved/V1.4.0/SYS-001/M-SYS-001-S06__FORCED_UPDATE__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.4.0,APPROVED,dcc5e89581686e684424a80ac6369d350220d8d949e3c87cba8fb9b531bb9b0b,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-SYS-001-S07,SYS-001,SYS-001-S07,启动与路由判定,维护模式,PAGE,ui/mockups/approved/V1.4.0/SYS-001/M-SYS-001-S07__MAINTENANCE__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.4.0,APPROVED,27c12ee14a3a91dcd46ec569f6d9b0e0367eb69a7bfd86b117677954106f21e8,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-SYS-002-S05,SYS-002,SYS-002-S05,维护、离线与服务不可用,服务已恢复,PAGE,ui/mockups/approved/V1.4.0/SYS-002/M-SYS-002-S05__RECOVERED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.4.0,APPROVED,e06e40a1d3741ebd0772a763b58b829cb5a1c2fa3a65b86b09f175805c3ca0f1,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-SYS-003-S01,SYS-003,SYS-003-S01,版本更新与下载状态,检查版本,PAGE,ui/mockups/approved/V1.4.0/SYS-003/M-SYS-003-S01__LOADING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.4.0,APPROVED,54f56317e62fe1c4743c9adf78506b65d66d1adced2d79bdf39fbfaf5f1793e6,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-SYS-003-S02,SYS-003,SYS-003-S02,版本更新与下载状态,已是最新版,PAGE,ui/mockups/approved/V1.4.0/SYS-003/M-SYS-003-S02__UP_TO_DATE__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.4.0,APPROVED,75fa18b40d4a0a0d448dc41eaea90264ab71edd2e626dd1dc7ca5b862ab31c64,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-SYS-003-S03,SYS-003,SYS-003-S03,版本更新与下载状态,可选更新可用,PAGE,ui/mockups/approved/V1.4.0/SYS-003/M-SYS-003-S03__OPTIONAL_AVAILABLE__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.4.0,APPROVED,c740cf1fb066d92fca849d570f3cd5b3188fa740e1cd198de9707fac9728f8b9,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-SYS-003-S04,SYS-003,SYS-003-S04,版本更新与下载状态,强制更新可用,PAGE,ui/mockups/approved/V1.4.0/SYS-003/M-SYS-003-S04__FORCED_AVAILABLE__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.4.0,APPROVED,fa428610777a44b92264690069f1f82ce28329db67ab61653c7e367fb4c63ebe,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-SYS-003-S05,SYS-003,SYS-003-S05,版本更新与下载状态,正在下载,PAGE,ui/mockups/approved/V1.4.0/SYS-003/M-SYS-003-S05__DOWNLOADING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.4.0,APPROVED,9a9040ca6bf0513b39c8cd33c66b3c6e963f3d4e38c202506aa650c8ca8feced,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-SYS-003-S06,SYS-003,SYS-003-S06,版本更新与下载状态,下载失败,PAGE,ui/mockups/approved/V1.4.0/SYS-003/M-SYS-003-S06__DOWNLOAD_FAILED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.4.0,APPROVED,0d0448e073632a25ddf8450f8b8332a81d2a48d28aaf91fa1bc02dd755ea14bd,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
